ID,Gender,Experience (Years),Position,Salary,Month
1,F,4,DevOps Engineer,109976,Jan
2,M,6,DevOps Engineer,120088,Jan
3,M,17,Web Developer,181301,Jan
4,M,7,Systems Administrator,77530,Jan
5,F,13,Systems Administrator,152397,Jan
6,F,13,Web Developer,114998,Jan
7,F,11,Systems Administrator,82328,Jan
8,M,2,DevOps Engineer,111494,Jan
9,F,6,DevOps Engineer,105563,Jan
10,F,6,IT Manager,162706,Jan
11,F,19,Network Administrator,158856,Jan
12,M,2,DevOps Engineer,103940,Jan
13,F,16,Database Administrator (DBA),137662,Jan
14,M,9,DevOps Engineer,139069,Jan
15,F,7,IT Manager,150286,Jan
16,M,13,IT Security Analyst,115698,Jan
17,M,4,IT Security Analyst,111156,Jan
18,F,16,Database Administrator (DBA),188681,Jan
19,F,5,IT Security Analyst,129205,Jan
20,M,5,Software Engineer,84342,Jan
21,F,20,Network Administrator,139766,Jan
22,F,19,IT Security Analyst,232972,Jan
23,F,0,Software Engineer,71220,Jan
24,F,13,IT Manager,235235,Jan
25,F,3,Web Developer,71211,Jan
26,F,10,IT Manager,146668,Jan
27,F,5,IT Manager,158855,Jan
28,M,17,Database Administrator (DBA),158415,Jan
29,M,20,Network Administrator,116964,Jan
30,F,20,IT Security Analyst,168554,Jan
31,M,8,IT Security Analyst,146153,Jan
32,M,7,DevOps Engineer,135205,Jan
33,M,15,IT Support Specialist,120102,Jan
34,M,3,IT Security Analyst,97240,Jan
35,M,13,Network Administrator,101107,Jan
36,M,1,IT Manager,87871,Jan
37,M,14,Software Engineer,171297,Jan
38,F,7,Systems Analyst,137535,Jan
39,F,2,IT Support Specialist,87698,Jan
40,F,4,Database Administrator (DBA),138718,Jan
41,M,11,IT Security Analyst,149040,Jan
42,M,1,Database Administrator (DBA),122207,Jan
43,F,19,Network Administrator,149342,Jan
44,M,4,Systems Administrator,65646,Jan
45,F,1,IT Manager,112471,Jan
46,F,10,Network Administrator,136474,Jan
47,F,1,Software Engineer,114166,Jan
48,F,1,Software Engineer,86362,Jan
49,M,15,IT Support Specialist,130119,Jan
50,M,6,IT Manager,181711,Jan
51,F,13,Network Administrator,115201,Jan
52,F,12,Systems Administrator,150854,Jan
53,M,17,IT Manager,196175,Jan
54,M,14,Network Administrator,137302,Jan
55,F,12,IT Manager,143412,Jan
56,M,20,Systems Administrator,190672,Jan
57,F,10,IT Manager,180757,Jan
58,F,16,IT Security Analyst,152107,Jan
59,M,0,IT Manager,111250,Jan
60,M,2,Systems Analyst,75749,Jan
61,M,7,Database Administrator (DBA),105182,Jan
62,M,17,IT Manager,260594,Jan
63,F,9,Network Administrator,73364,Jan
64,F,6,Cloud Solutions Architect,156504,Jan
65,M,2,IT Support Specialist,48710,Jan
66,M,17,DevOps Engineer,173720,Jan
67,M,9,IT Manager,186239,Jan
68,M,3,Systems Analyst,126171,Jan
69,M,2,IT Security Analyst,79108,Jan
70,M,1,Network Administrator,86110,Jan
71,F,19,Cloud Solutions Architect,226461,Jan
72,F,5,Cloud Solutions Architect,110321,Jan
73,F,19,DevOps Engineer,172582,Jan
74,F,1,Software Engineer,66956,Jan
75,F,19,Database Administrator (DBA),142525,Jan
76,F,2,Cloud Solutions Architect,141623,Jan
77,M,15,Software Engineer,134111,Jan
78,M,2,DevOps Engineer,132249,Jan
79,M,12,Cloud Solutions Architect,176976,Jan
80,F,7,Web Developer,77058,Jan
81,F,12,Web Developer,117934,Jan
82,F,0,Software Engineer,109573,Jan
83,F,10,Cloud Solutions Architect,197617,Jan
84,F,20,Systems Administrator,132670,Jan
85,F,5,Web Developer,64220,Jan
86,M,3,Cloud Solutions Architect,110084,Jan
87,F,0,IT Support Specialist,54739,Jan
88,F,1,IT Security Analyst,70941,Jan
89,M,11,Database Administrator (DBA),156027,Jan
90,F,13,Database Administrator (DBA),146249,Jan
91,M,3,Web Developer,57567,Jan
92,M,15,Systems Administrator,140147,Jan
93,M,2,IT Security Analyst,97051,Jan
94,M,16,IT Security Analyst,128620,Jan
95,F,8,IT Security Analyst,150869,Jan
96,M,1,Systems Administrator,102783,Jan
97,F,12,IT Manager,207518,Jan
98,F,10,IT Support Specialist,101278,Jan
99,M,3,IT Manager,157705,Jan
100,M,4,Cloud Solutions Architect,131176,Jan
101,M,4,IT Support Specialist,62204,Feb
102,M,1,DevOps Engineer,123049,Feb
103,F,3,IT Support Specialist,90049,Feb
104,M,9,Cloud Solutions Architect,161408,Feb
105,F,16,Systems Analyst,153779,Feb
106,M,3,Database Administrator (DBA),86225,Feb
107,M,6,IT Security Analyst,135066,Feb
108,M,14,IT Manager,205579,Feb
109,M,2,Software Engineer,108575,Feb
110,M,14,Database Administrator (DBA),123370,Feb
111,M,9,Systems Analyst,147270,Feb
112,F,1,IT Support Specialist,43643,Feb
113,M,2,IT Manager,162398,Feb
114,F,18,Software Engineer,164112,Feb
115,F,4,Systems Analyst,116668,Feb
116,M,18,IT Manager,269950,Feb
117,M,16,DevOps Engineer,214282,Feb
118,F,2,Systems Administrator,55964,Feb
119,F,13,Database Administrator (DBA),184309,Feb
120,F,17,DevOps Engineer,230965,Feb
121,F,18,IT Manager,268774,Feb
122,M,13,Network Administrator,145856,Feb
123,F,12,Systems Analyst,100616,Feb
124,M,18,Software Engineer,215034,Feb
125,F,10,Software Engineer,99469,Feb
126,F,18,IT Support Specialist,114492,Feb
127,M,5,Systems Analyst,88697,Feb
128,M,10,IT Support Specialist,90393,Feb
129,F,11,Systems Analyst,120142,Feb
130,F,14,IT Support Specialist,95631,Feb
131,M,16,Systems Analyst,155017,Feb
132,M,6,IT Support Specialist,103201,Feb
133,M,3,Web Developer,57838,Feb
134,M,14,Web Developer,149569,Feb
135,F,1,Web Developer,59145,Feb
136,F,3,Database Administrator (DBA),109928,Feb
137,F,2,Systems Analyst,85246,Feb
138,M,15,IT Support Specialist,90576,Feb
139,F,3,Cloud Solutions Architect,127148,Feb
140,M,10,Database Administrator (DBA),135496,Feb
141,M,3,Systems Administrator,61236,Feb
142,M,5,IT Security Analyst,82987,Feb
143,M,0,Database Administrator (DBA),67396,Feb
144,F,9,Network Administrator,113345,Feb
145,M,12,Cloud Solutions Architect,217422,Feb
146,F,1,IT Manager,133155,Feb
147,M,19,Software Engineer,180669,Feb
148,F,1,IT Support Specialist,49817,Feb
149,M,19,Systems Analyst,179006,Feb
150,M,7,Software Engineer,128503,Feb
151,M,16,IT Security Analyst,207529,Feb
152,M,19,DevOps Engineer,181201,Feb
153,M,13,Database Administrator (DBA),192883,Feb
154,M,8,Software Engineer,145530,Feb
155,M,8,Software Engineer,149360,Feb
156,M,8,Systems Analyst,141631,Feb
157,M,0,IT Security Analyst,108050,Feb
158,M,8,IT Support Specialist,69668,Feb
159,F,15,DevOps Engineer,135999,Feb
160,F,2,Systems Analyst,89662,Feb
161,F,8,Software Engineer,159549,Feb
162,M,17,IT Manager,244446,Feb
163,M,5,Network Administrator,67910,Feb
164,M,13,Database Administrator (DBA),134293,Feb
165,M,14,Network Administrator,140241,Feb
166,F,7,IT Manager,120172,Feb
167,F,13,Systems Analyst,126492,Feb
168,M,3,Cloud Solutions Architect,109601,Feb
169,F,17,IT Security Analyst,175191,Feb
170,F,11,Cloud Solutions Architect,134208,Feb
171,M,20,Network Administrator,181654,Feb
172,F,11,Web Developer,150102,Feb
173,F,9,Systems Administrator,133765,Feb
174,F,14,IT Support Specialist,82546,Feb
175,F,5,Cloud Solutions Architect,145253,Feb
176,F,6,Cloud Solutions Architect,107263,Feb
177,M,5,IT Security Analyst,77683,Feb
178,M,16,Web Developer,117435,Feb
179,M,20,IT Security Analyst,120104,Feb
180,M,13,Systems Administrator,108545,Feb
181,F,17,Software Engineer,131849,Feb
182,M,12,IT Support Specialist,122736,Feb
183,F,12,Cloud Solutions Architect,153318,Feb
184,F,4,Database Administrator (DBA),108860,Feb
185,F,14,Systems Administrator,95988,Feb
186,F,12,Systems Analyst,174272,Feb
187,M,2,IT Security Analyst,114996,Feb
188,F,1,Systems Analyst,86818,Feb
189,M,11,IT Manager,153634,Feb
190,M,11,Web Developer,116363,Feb
191,F,18,DevOps Engineer,154557,Feb
192,M,7,Database Administrator (DBA),132171,Feb
193,F,15,IT Security Analyst,116529,Feb
194,M,7,Web Developer,90340,Feb
195,F,19,Systems Analyst,134871,Feb
196,F,12,Software Engineer,178801,Feb
197,F,18,IT Security Analyst,224671,Feb
198,F,16,Systems Administrator,106131,Feb
199,F,2,Cloud Solutions Architect,136537,Feb
200,M,8,DevOps Engineer,128641,Feb
201,F,7,IT Security Analyst,157825,Mar
202,M,11,DevOps Engineer,196310,Mar
203,F,11,Cloud Solutions Architect,150681,Mar
204,F,14,Web Developer,148073,Mar
205,F,19,IT Security Analyst,154443,Mar
206,M,19,Web Developer,119320,Mar
207,F,9,IT Security Analyst,142031,Mar
208,F,0,IT Manager,149762,Mar
209,F,10,Web Developer,143649,Mar
210,M,11,Database Administrator (DBA),93165,Mar
211,F,4,Web Developer,68000,Mar
212,F,6,IT Support Specialist,78006,Mar
213,M,6,Systems Administrator,127764,Mar
214,M,8,IT Support Specialist,110734,Mar
215,M,9,Network Administrator,85199,Mar
216,M,11,Web Developer,114608,Mar
217,M,14,IT Security Analyst,183382,Mar
218,F,14,Web Developer,162487,Mar
219,F,11,IT Security Analyst,149970,Mar
220,M,4,Database Administrator (DBA),94797,Mar
221,M,3,Software Engineer,100026,Mar
222,F,0,Software Engineer,103124,Mar
223,M,9,Systems Administrator,129155,Mar
224,M,8,Systems Administrator,131847,Mar
225,M,18,Web Developer,152404,Mar
226,F,9,Systems Administrator,137897,Mar
227,M,20,DevOps Engineer,218258,Mar
228,F,14,Systems Analyst,186294,Mar
229,F,18,Software Engineer,190752,Mar
230,M,0,Systems Administrator,71389,Mar
231,M,3,Web Developer,94989,Mar
232,M,14,IT Manager,204549,Mar
233,F,19,IT Support Specialist,136355,Mar
234,F,4,Web Developer,96910,Mar
235,M,8,DevOps Engineer,150620,Mar
236,M,0,IT Support Specialist,70195,Mar
237,F,5,Systems Administrator,93860,Mar
238,M,17,Software Engineer,150031,Mar
239,F,11,Database Administrator (DBA),97981,Mar
240,F,14,IT Support Specialist,91480,Mar
241,M,5,Systems Administrator,73047,Mar
242,F,19,Systems Administrator,178265,Mar
243,F,0,Web Developer,62301,Mar
244,M,3,Systems Administrator,108998,Mar
245,M,13,Web Developer,94615,Mar
246,F,2,Systems Analyst,72006,Mar
247,M,17,DevOps Engineer,177180,Mar
248,F,3,IT Manager,158031,Mar
249,M,10,Systems Administrator,98814,Mar
250,F,19,Systems Administrator,130445,Mar
251,F,7,Network Administrator,120406,Mar
252,F,2,Systems Administrator,67127,Mar
253,M,16,Software Engineer,174612,Mar
254,F,4,Software Engineer,141261,Mar
255,M,6,Database Administrator (DBA),116853,Mar
256,M,1,Systems Analyst,93558,Mar
257,M,9,IT Security Analyst,148118,Mar
258,F,17,Software Engineer,175368,Mar
259,F,3,DevOps Engineer,148634,Mar
260,M,14,Cloud Solutions Architect,252949,Mar
261,F,0,Database Administrator (DBA),90721,Mar
262,M,11,DevOps Engineer,196839,Mar
263,F,16,Cloud Solutions Architect,180331,Mar
264,F,6,Software Engineer,92927,Mar
265,M,10,Network Administrator,111025,Mar
266,M,16,IT Manager,172094,Mar
267,F,3,IT Manager,156738,Mar
268,M,5,DevOps Engineer,157380,Mar
269,M,9,Systems Analyst,132950,Mar
270,F,5,Web Developer,70610,Mar
271,F,7,IT Manager,115263,Mar
272,M,1,Systems Analyst,79944,Mar
273,M,13,Software Engineer,161927,Mar
274,M,19,Database Administrator (DBA),132311,Mar
275,M,19,Systems Administrator,116574,Mar
276,M,13,Network Administrator,134437,Mar
277,M,10,Database Administrator (DBA),166104,Mar
278,M,11,Web Developer,100091,Mar
279,F,0,Systems Analyst,102541,Mar
280,F,14,Systems Administrator,125521,Mar
281,M,5,Network Administrator,91842,Mar
282,M,2,Systems Analyst,79431,Mar
283,F,12,Web Developer,112825,Mar
284,F,10,DevOps Engineer,130002,Mar
285,M,6,Software Engineer,133508,Mar
286,M,11,DevOps Engineer,180261,Mar
287,F,20,IT Manager,190192,Mar
288,F,10,Database Administrator (DBA),128220,Mar
289,F,7,IT Support Specialist,106666,Mar
290,M,7,IT Support Specialist,97317,Mar
291,M,0,IT Security Analyst,70591,Mar
292,F,15,Database Administrator (DBA),187353,Mar
293,F,8,Web Developer,131530,Mar
294,M,13,Database Administrator (DBA),108040,Mar
295,F,7,DevOps Engineer,147688,Mar
296,F,4,IT Support Specialist,74688,Mar
297,F,3,Systems Analyst,83147,Mar
298,M,18,Database Administrator (DBA),139000,Mar
299,M,16,Web Developer,114764,Mar
300,M,4,IT Security Analyst,125282,Mar
301,M,10,IT Manager,164340,Apr
302,F,19,Database Administrator (DBA),121293,Apr
303,F,8,Web Developer,92514,Apr
304,F,10,IT Manager,200409,Apr
305,M,15,Systems Analyst,178571,Apr
306,F,6,Software Engineer,136900,Apr
307,M,0,Web Developer,64736,Apr
308,M,15,DevOps Engineer,124153,Apr
309,F,7,Database Administrator (DBA),125514,Apr
310,M,12,IT Security Analyst,152934,Apr
311,M,16,Software Engineer,181774,Apr
312,F,18,Network Administrator,148410,Apr
313,F,16,Systems Analyst,183411,Apr
314,F,1,Software Engineer,97706,Apr
315,M,10,IT Manager,150802,Apr
316,M,5,Web Developer,118482,Apr
317,F,20,Systems Analyst,206324,Apr
318,M,18,Cloud Solutions Architect,242808,Apr
319,M,10,Web Developer,128179,Apr
320,F,10,IT Manager,193399,Apr
321,M,2,Cloud Solutions Architect,92288,Apr
322,F,18,Systems Administrator,130058,Apr
323,F,15,Database Administrator (DBA),106204,Apr
324,M,0,IT Security Analyst,114736,Apr
325,F,11,Systems Analyst,111316,Apr
326,M,2,IT Manager,103746,Apr
327,F,15,DevOps Engineer,211620,Apr
328,F,14,Web Developer,168536,Apr
329,F,9,DevOps Engineer,159630,Apr
330,M,17,Systems Analyst,188959,Apr
331,M,19,Network Administrator,111362,Apr
332,M,20,Database Administrator (DBA),214420,Apr
333,M,20,DevOps Engineer,205418,Apr
334,M,20,Systems Analyst,149160,Apr
335,M,2,Web Developer,87875,Apr
336,F,3,DevOps Engineer,131757,Apr
337,F,6,IT Support Specialist,84510,Apr
338,F,16,IT Support Specialist,88993,Apr
339,M,4,Systems Administrator,98992,Apr
340,M,11,Cloud Solutions Architect,142348,Apr
341,F,9,Cloud Solutions Architect,126811,Apr
342,M,12,Web Developer,81593,Apr
343,M,17,Systems Analyst,112487,Apr
344,F,6,Software Engineer,114791,Apr
345,F,17,Systems Administrator,127533,Apr
346,M,4,Software Engineer,107647,Apr
347,F,12,Web Developer,147836,Apr
348,F,19,DevOps Engineer,242819,Apr
349,M,9,Systems Administrator,115769,Apr
350,M,16,Web Developer,93819,Apr
351,M,19,Cloud Solutions Architect,229450,Apr
352,M,17,Database Administrator (DBA),163651,Apr
353,F,12,Database Administrator (DBA),156865,Apr
354,M,6,IT Security Analyst,154128,Apr
355,F,17,Systems Analyst,113678,Apr
356,F,9,DevOps Engineer,167738,Apr
357,F,10,Cloud Solutions Architect,197467,Apr
358,M,16,IT Manager,174920,Apr
359,M,5,Software Engineer,76006,Apr
360,M,4,Network Administrator,94624,Apr
361,F,20,Network Administrator,174498,Apr
362,F,18,DevOps Engineer,211696,Apr
363,F,13,IT Support Specialist,100638,Apr
364,F,12,DevOps Engineer,200228,Apr
365,F,2,IT Security Analyst,111043,Apr
366,M,1,Systems Administrator,78440,Apr
367,F,10,Web Developer,81706,Apr
368,M,15,Network Administrator,118781,Apr
369,F,16,DevOps Engineer,157975,Apr
370,M,13,Systems Administrator,159733,Apr
371,M,1,Network Administrator,61605,Apr
372,M,6,Systems Administrator,129226,Apr
373,F,13,Systems Analyst,162457,Apr
374,M,12,Network Administrator,116966,Apr
375,M,13,Cloud Solutions Architect,167168,Apr
376,M,3,Database Administrator (DBA),105768,Apr
377,M,1,Cloud Solutions Architect,104113,Apr
378,M,11,IT Manager,159942,Apr
379,M,20,IT Manager,190956,Apr
380,F,16,Systems Analyst,149281,Apr
381,F,1,IT Security Analyst,110686,Apr
382,F,0,IT Manager,105758,Apr
383,M,10,Web Developer,91542,Apr
384,F,14,Network Administrator,121650,Apr
385,F,14,Systems Administrator,108497,Apr
386,F,3,Systems Analyst,98196,Apr
387,F,3,Web Developer,102394,Apr
388,F,1,Network Administrator,103637,Apr
389,F,4,Systems Administrator,102856,Apr
390,F,9,IT Security Analyst,107445,Apr
391,M,11,IT Support Specialist,66076,Apr
392,F,3,Cloud Solutions Architect,159870,Apr
393,F,1,Network Administrator,79333,Apr
394,M,2,Software Engineer,91029,Apr
395,M,3,IT Support Specialist,54938,Apr
396,F,19,Cloud Solutions Architect,236045,Apr
397,F,20,Web Developer,182770,Apr
398,F,9,Network Administrator,85550,Apr
399,M,18,Database Administrator (DBA),129996,Apr
400,F,11,IT Security Analyst,169058,Apr
