ID,Gender,Experience (Years),Position,Salary
184,F,4,Database Administrator (DBA),108860
204,F,14,Web Developer,148073
284,F,10,DevOps Engineer,130002
212,F,6,IT Support Specialist,78006
283,F,12,Web Developer,112825
130,F,14,IT Support Specialist,95631
39,F,2,IT Support Specialist,87698
12,M,2,DevOps Engineer,103940
326,M,2,IT Manager,103746
186,F,12,Systems Analyst,174272
223,M,9,Systems Administrator,129155
113,M,2,IT Manager,162398
180,M,13,Systems Administrator,108545
328,F,14,Web Developer,168536
300,M,4,IT Security Analyst,125282
118,F,2,Systems Administrator,55964
369,F,16,DevOps Engineer,157975
278,M,11,Web Developer,100091
385,F,14,Systems Administrator,108497
288,F,10,Database Administrator (DBA),128220
363,F,13,IT Support Specialist,100638
165,M,14,Network Administrator,140241
254,F,4,Software Engineer,141261
137,F,2,Systems Analyst,85246
155,M,8,Software Engineer,149360
200,M,8,DevOps Engineer,128641
198,F,16,Systems Administrator,106131
393,F,1,Network Administrator,79333
3,M,17,Web Developer,181301
205,F,19,IT Security Analyst,154443
116,M,18,IT Manager,269950
235,M,8,DevOps Engineer,150620
238,M,17,Software Engineer,150031
27,F,5,IT Manager,158855
121,F,18,IT Manager,268774
358,M,16,IT Manager,174920
225,M,18,Web Developer,152404
361,F,20,Network Administrator,174498
379,M,20,IT Manager,190956
351,M,19,Cloud Solutions Architect,229450
380,F,16,Systems Analyst,149281
128,M,10,IT Support Specialist,90393
75,F,19,Database Administrator (DBA),142525
323,F,15,Database Administrator (DBA),106204
30,F,20,IT Security Analyst,168554
84,F,20,Systems Administrator,132670
390,F,9,IT Security Analyst,107445
108,M,14,IT Manager,205579
250,F,19,Systems Administrator,130445
297,F,3,Systems Analyst,83147
134,M,14,Web Developer,149569
245,M,13,Web Developer,94615
185,F,14,Systems Administrator,95988
291,M,0,IT Security Analyst,70591
45,F,1,IT Manager,112471
368,M,15,Network Administrator,118781
66,M,17,DevOps Engineer,173720
86,M,3,Cloud Solutions Architect,110084
243,F,0,Web Developer,62301
187,M,2,IT Security Analyst,114996
160,F,2,Systems Analyst,89662
13,F,16,Database Administrator (DBA),137662
36,M,1,IT Manager,87871
29,M,20,Network Administrator,116964
171,M,20,Network Administrator,181654
143,M,0,Database Administrator (DBA),67396
319,M,10,Web Developer,128179
273,M,13,Software Engineer,161927
222,F,0,Software Engineer,103124
96,M,1,Systems Administrator,102783
52,F,12,Systems Administrator,150854
241,M,5,Systems Administrator,73047
299,M,16,Web Developer,114764
305,M,15,Systems Analyst,178571
179,M,20,IT Security Analyst,120104
42,M,1,Database Administrator (DBA),122207
311,M,16,Software Engineer,181774
207,F,9,IT Security Analyst,142031
255,M,6,Database Administrator (DBA),116853
332,M,20,Database Administrator (DBA),214420
5,F,13,Systems Administrator,152397
257,M,9,IT Security Analyst,148118
359,M,5,Software Engineer,76006
101,M,4,IT Support Specialist,62204
227,M,20,DevOps Engineer,218258
342,M,12,Web Developer,81593
214,M,8,IT Support Specialist,110734
172,F,11,Web Developer,150102
99,M,3,IT Manager,157705
216,M,11,Web Developer,114608
62,M,17,IT Manager,260594
48,F,1,Software Engineer,86362
33,M,15,IT Support Specialist,120102
268,M,5,DevOps Engineer,157380
201,F,7,IT Security Analyst,157825
357,F,10,Cloud Solutions Architect,197467
28,M,17,Database Administrator (DBA),158415
313,F,16,Systems Analyst,183411
231,M,3,Web Developer,94989
261,F,0,Database Administrator (DBA),90721
289,F,7,IT Support Specialist,106666
163,M,5,Network Administrator,67910
371,M,1,Network Administrator,61605
139,F,3,Cloud Solutions Architect,127148
63,F,9,Network Administrator,73364
136,F,3,Database Administrator (DBA),109928
129,F,11,Systems Analyst,120142
9,F,6,DevOps Engineer,105563
65,M,2,IT Support Specialist,48710
301,M,10,IT Manager,164340
15,F,7,IT Manager,150286
157,M,0,IT Security Analyst,108050
41,M,11,IT Security Analyst,149040
367,F,10,Web Developer,81706
324,M,0,IT Security Analyst,114736
217,M,14,IT Security Analyst,183382
280,F,14,Systems Administrator,125521
347,F,12,Web Developer,147836
237,F,5,Systems Administrator,93860
208,F,0,IT Manager,149762
213,M,6,Systems Administrator,127764
296,F,4,IT Support Specialist,74688
365,F,2,IT Security Analyst,111043
252,F,2,Systems Administrator,67127
391,M,11,IT Support Specialist,66076
366,M,1,Systems Administrator,78440
304,F,10,IT Manager,200409
270,F,5,Web Developer,70610
202,M,11,DevOps Engineer,196310
162,M,17,IT Manager,244446
44,M,4,Systems Administrator,65646
218,F,14,Web Developer,162487
191,F,18,DevOps Engineer,154557
310,M,12,IT Security Analyst,152934
260,M,14,Cloud Solutions Architect,252949
106,M,3,Database Administrator (DBA),86225
54,M,14,Network Administrator,137302
2,M,6,DevOps Engineer,120088
50,M,6,IT Manager,181711
81,F,12,Web Developer,117934
206,M,19,Web Developer,119320
35,M,13,Network Administrator,101107
264,F,6,Software Engineer,92927
92,M,15,Systems Administrator,140147
340,M,11,Cloud Solutions Architect,142348
53,M,17,IT Manager,196175
346,M,4,Software Engineer,107647
265,M,10,Network Administrator,111025
242,F,19,Systems Administrator,178265
14,M,9,DevOps Engineer,139069
316,M,5,Web Developer,118482
89,M,11,Database Administrator (DBA),156027
274,M,19,Database Administrator (DBA),132311
167,F,13,Systems Analyst,126492
329,F,9,DevOps Engineer,159630
394,M,2,Software Engineer,91029
135,F,1,Web Developer,59145
307,M,0,Web Developer,64736
384,F,14,Network Administrator,121650
320,F,10,IT Manager,193399
244,M,3,Systems Administrator,108998
55,F,12,IT Manager,143412
51,F,13,Network Administrator,115201
175,F,5,Cloud Solutions Architect,145253
190,M,11,Web Developer,116363
398,F,9,Network Administrator,85550
188,F,1,Systems Analyst,86818
170,F,11,Cloud Solutions Architect,134208
59,M,0,IT Manager,111250
49,M,15,IT Support Specialist,130119
345,F,17,Systems Administrator,127533
236,M,0,IT Support Specialist,70195
253,M,16,Software Engineer,174612
22,F,19,IT Security Analyst,232972
314,F,1,Software Engineer,97706
161,F,8,Software Engineer,159549
277,M,10,Database Administrator (DBA),166104
192,M,7,Database Administrator (DBA),132171
294,M,13,Database Administrator (DBA),108040
344,F,6,Software Engineer,114791
258,F,17,Software Engineer,175368
309,F,7,Database Administrator (DBA),125514
150,M,7,Software Engineer,128503
131,M,16,Systems Analyst,155017
152,M,19,DevOps Engineer,181201
360,M,4,Network Administrator,94624
100,M,4,Cloud Solutions Architect,131176
373,F,13,Systems Analyst,162457
88,F,1,IT Security Analyst,70941
331,M,19,Network Administrator,111362
215,M,9,Network Administrator,85199
122,M,13,Network Administrator,145856
400,F,11,IT Security Analyst,169058
21,F,20,Network Administrator,139766
189,M,11,IT Manager,153634
72,F,5,Cloud Solutions Architect,110321
107,M,6,IT Security Analyst,135066
271,F,7,IT Manager,115263
349,M,9,Systems Administrator,115769
103,F,3,IT Support Specialist,90049
